Car Name,Car Price,Car Link
2015 Kia Forte Koup,"$9,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=KNAFX6A83F5266196&mileage=62417&radius=7000&listingId=KNAFX6A83F5266196-7d1641ed-4b9f&inventoryType=used&make=Kia&model=Forte%20Koup
2015 Nissan Quest,"$9,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=JN8AE2KP0F9127786&mileage=50854&radius=7000&listingId=JN8AE2KP0F9127786-4eb899e2-4551&inventoryType=used&make=Nissan&model=Quest
2010 Honda Insight,"$5,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=JHMZE2H5XAS007711&mileage=159660&radius=7000&listingId=JHMZE2H5XAS007711-125651ba-c047&inventoryType=used&make=Honda&model=Insight
2004 INFINITI FX35,"$5,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=JNRAS08U04X100649&mileage=82274&radius=7000&listingId=JNRAS08U04X100649-2475ed41-5a9e&inventoryType=used&make=INFINITI&model=FX35
2014 Toyota Prius c,"$14,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=JTDKDTB34E1072083&mileage=61533&radius=7000&listingId=JTDKDTB34E1072083-ae6958b8-b9a7&inventoryType=used&make=Toyota&model=Prius%20c
2018 Mitsubishi Mirage G4,"$12,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=ML32F3FJXJHF14634&mileage=16610&radius=7000&listingId=ML32F3FJXJHF14634-69b3730b-c55e&inventoryType=used&make=Mitsubishi&model=Mirage%20G4
2017 Chevrolet Traverse,"$15,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=1GNKRHKD0HJ327380&mileage=56939&radius=7000&listingId=1GNKRHKD0HJ327380-e84a8161-7b76&inventoryType=used&make=Chevrolet&model=Traverse
2017 Hyundai Elantra,"$12,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=KMHD74LF4HU154876&mileage=50122&radius=7000&listingId=KMHD74LF4HU154876-a653a5f4-669d&inventoryType=used&make=Hyundai&model=Elantra
2006 Jeep Commander,"$6,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=1J8HG48N06C120161&mileage=133219&radius=7000&listingId=1J8HG48N06C120161-a74425af-96e2&inventoryType=used&make=Jeep&model=Commander
2012 Ford Focus,"$7,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=1FAHP3F20CL159358&mileage=77805&radius=7000&listingId=1FAHP3F20CL159358-3a4bd49c-0ee7&inventoryType=used&make=Ford&model=Focus
2012 Ford Explorer,"$11,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=1FMHK8B84CGA87973&mileage=87162&radius=7000&listingId=1FMHK8B84CGA87973-3953d9e2-2177&inventoryType=used&make=Ford&model=Explorer
2003 Nissan Altima,"$5,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=1N4AL11D83C329024&mileage=127325&radius=7000&listingId=1N4AL11D83C329024-cba354e3-46fb&inventoryType=used&make=Nissan&model=Altima
2007 Nissan Xterra,"$6,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=5N1AN08U27C538099&mileage=128351&radius=7000&listingId=5N1AN08U27C538099-b1aba4c6-8faf&inventoryType=used&make=Nissan&model=Xterra
2011 Hyundai Sonata,"$9,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=5NPEB4AC3BH022886&mileage=61989&radius=7000&listingId=5NPEB4AC3BH022886-1b638b96-0ea9&inventoryType=used&make=Hyundai&model=Sonata
2011 BMW X3,"$13,995",https://my.caredge.com/buy/details?zip=6000&state=WA&vin=5UXWX5C57BL716095&mileage=65970&radius=7000&listingId=5UXWX5C57BL716095-a50944d5-90a5&inventoryType=used&make=BMW&model=X3
